age,annual_income,loan_amount,credit_score,employment_years,existing_loans,dependents,missed_payments,debt_to_income_ratio,education,employment_type,residence_type,marital_status,loan_purpose,default
36,1045471,78497,573,13,0,2,2,7.51,High School,Business,Rented,Single,Vehicle,0
53,763585,195753,753,7,1,1,2,25.64,Graduate,Self-Employed,Owned,Single,Personal,0
42,568222,292341,639,5,4,1,5,51.45,Postgraduate,Salaried,Mortgaged,Married,Home,1
38,453511,463194,781,16,3,0,6,95.0,High School,Salaried,Owned,Single,Home,0
38,652519,154879,670,8,3,1,2,23.74,High School,Salaried,Owned,Single,Education,0
29,584162,288167,646,12,0,1,5,49.33,High School,Business,Mortgaged,Married,Vehicle,1
24,426685,394520,678,0,2,4,0,92.46,Diploma,Business,Owned,Single,Business,0
42,1100726,50000,743,1,1,4,5,4.54,Postgraduate,Salaried,Rented,Married,Personal,0
55,1042737,444730,674,16,2,1,0,42.65,Postgraduate,Salaried,Owned,Single,Education,1
23,899931,134457,655,2,1,0,4,14.94,Postgraduate,Salaried,Rented,Single,Business,1
54,447413,346479,676,15,1,0,2,77.44,High School,Salaried,Owned,Married,Education,1
53,838104,334536,601,18,4,1,2,39.92,Graduate,Self-Employed,Rented,Single,Business,1
31,790718,451842,718,9,2,2,1,57.14,Graduate,Salaried,Rented,Married,Home,1
45,747360,377129,565,17,2,2,2,50.46,Graduate,Salaried,Owned,Divorced,Home,1
27,924926,50000,659,8,0,1,6,5.41,Postgraduate,Business,Owned,Married,Business,1
50,789782,190131,743,19,3,1,5,24.07,Diploma,Business,Owned,Single,Education,1
48,812803,319349,711,4,2,1,2,39.29,High School,Business,Rented,Single,Education,0
34,790119,272703,731,8,1,2,2,34.51,Postgraduate,Salaried,Owned,Divorced,Vehicle,1
23,724974,366866,685,7,3,3,3,50.6,High School,Unemployed,Owned,Married,Home,1
58,257606,410511,772,15,0,0,4,95.0,High School,Self-Employed,Owned,Married,Business,1
38,668397,385183,755,0,2,2,1,57.63,Postgraduate,Self-Employed,Rented,Married,Education,0
55,527638,270002,721,16,4,3,5,51.17,Postgraduate,Salaried,Rented,Single,Education,1
47,368435,50000,755,0,2,3,6,13.57,High School,Business,Rented,Single,Personal,0
51,1020000,236233,743,6,0,2,5,23.16,Graduate,Self-Employed,Mortgaged,Married,Business,1
50,1030379,358292,659,11,1,2,3,34.77,High School,Business,Rented,Married,Home,0
28,949029,147337,596,2,0,3,2,15.53,High School,Self-Employed,Mortgaged,Single,Business,1
35,706147,388378,719,9,2,1,2,55.0,High School,Business,Rented,Married,Home,1
39,947138,427175,728,19,1,2,5,45.1,Diploma,Self-Employed,Owned,Married,Home,1
40,652652,317761,766,16,0,1,3,48.69,High School,Unemployed,Mortgaged,Single,Business,1
22,694615,50000,624,0,3,2,0,7.2,Postgraduate,Salaried,Rented,Single,Home,0
42,409436,121068,627,11,0,0,4,29.57,Graduate,Salaried,Rented,Married,Vehicle,1
27,737338,564066,722,11,1,1,0,76.5,High School,Business,Owned,Married,Personal,1
49,663285,223485,685,1,4,0,6,33.69,Diploma,Self-Employed,Owned,Divorced,Business,1
47,363417,50000,558,13,0,1,2,13.76,Diploma,Self-Employed,Rented,Single,Personal,1
56,638737,472935,716,10,1,2,2,74.04,Diploma,Business,Owned,Divorced,Personal,1
50,632459,301870,560,13,1,2,0,47.73,Graduate,Self-Employed,Rented,Married,Vehicle,1
35,1045463,454692,624,5,2,4,1,43.49,High School,Business,Owned,Married,Business,1
58,846727,338774,785,5,1,0,6,40.01,Diploma,Salaried,Rented,Single,Vehicle,0
37,652518,364198,818,14,4,4,3,55.81,High School,Business,Owned,Single,Business,0
33,704733,350821,605,14,0,1,6,49.78,High School,Salaried,Owned,Married,Vehicle,1
56,659727,397648,667,3,4,3,6,60.27,Postgraduate,Self-Employed,Owned,Single,Home,1
35,605359,618840,693,4,2,3,0,95.0,High School,Business,Rented,Single,Home,1
23,411866,435941,815,11,0,4,2,95.0,Graduate,Salaried,Rented,Divorced,Personal,1
39,616769,78752,655,16,0,0,5,12.77,Graduate,Salaried,Mortgaged,Single,Home,0
52,485858,362533,657,4,0,4,3,74.62,Diploma,Salaried,Rented,Divorced,Business,1
28,374931,459807,798,4,1,0,3,95.0,Diploma,Self-Employed,Rented,Married,Personal,0
39,762469,468378,664,16,1,4,3,61.43,Diploma,Salaried,Rented,Married,Business,1
26,736078,240275,741,13,3,3,4,32.64,Graduate,Salaried,Rented,Single,Education,1
47,256924,463092,587,18,1,2,6,95.0,Graduate,Business,Mortgaged,Married,Home,1
39,623009,429884,678,15,3,1,6,69.0,Graduate,Salaried,Rented,Married,Personal,1
33,869054,660152,574,19,1,0,4,75.96,Diploma,Self-Employed,Owned,Divorced,Business,1
29,883029,195000,616,3,1,4,4,22.08,High School,Self-Employed,Rented,Single,Education,1
43,875684,228964,749,5,1,3,2,26.15,Diploma,Salaried,Owned,Single,Personal,0
47,658561,257143,687,4,1,4,0,39.05,Graduate,Salaried,Owned,Divorced,Home,0
57,464090,231369,668,1,4,3,4,49.85,High School,Unemployed,Rented,Single,Education,1
38,411586,175397,638,15,1,4,0,42.61,High School,Self-Employed,Mortgaged,Married,Home,0
27,725813,50000,675,13,1,4,4,6.89,Graduate,Salaried,Owned,Single,Home,1
53,733442,239142,711,1,4,2,3,32.61,Diploma,Business,Owned,Single,Vehicle,1
45,933213,351710,759,3,3,3,5,37.69,High School,Self-Employed,Mortgaged,Married,Business,1
48,891996,230949,506,3,0,1,6,25.89,Graduate,Salaried,Owned,Married,Vehicle,1
24,620910,570953,632,8,4,3,3,91.95,Graduate,Self-Employed,Owned,Married,Business,1
33,376275,301873,701,9,0,3,4,80.23,Diploma,Self-Employed,Rented,Married,Personal,1
50,579797,480744,683,5,0,2,3,82.92,High School,Salaried,Mortgaged,Married,Personal,0
53,697791,336599,718,18,2,3,2,48.24,High School,Business,Rented,Divorced,Home,0
37,605542,415697,709,4,3,1,0,68.65,High School,Salaried,Rented,Single,Personal,1
52,522863,339094,669,11,0,3,0,64.85,Postgraduate,Salaried,Owned,Single,Home,0
53,705635,491630,653,8,3,2,5,69.67,High School,Salaried,Owned,Single,Business,1
36,539129,307832,673,7,0,1,6,57.1,Diploma,Business,Rented,Married,Vehicle,1
56,511825,369457,770,16,3,4,0,72.18,Graduate,Business,Mortgaged,Single,Business,0
32,718520,351287,639,19,0,0,2,48.89,High School,Unemployed,Owned,Married,Home,1
30,561562,259640,686,0,2,3,4,46.24,Graduate,Salaried,Owned,Married,Business,1
47,703703,356698,703,9,3,1,4,50.69,Graduate,Business,Owned,Married,Home,1
45,710105,612814,799,2,1,1,5,86.3,Postgraduate,Self-Employed,Owned,Married,Home,1
26,399326,262144,669,8,3,0,4,65.65,Diploma,Salaried,Owned,Married,Business,1
53,544127,358725,757,12,3,0,0,65.93,Graduate,Salaried,Owned,Married,Vehicle,0
28,966311,476089,776,8,3,0,1,49.27,Postgraduate,Business,Rented,Single,Business,0
52,394343,459635,686,6,1,4,3,95.0,High School,Salaried,Owned,Married,Business,1
21,184336,301640,675,6,3,4,0,95.0,Graduate,Self-Employed,Rented,Single,Business,1
52,240394,50000,667,5,3,2,2,20.8,High School,Self-Employed,Rented,Married,Business,1
51,656404,372338,672,6,1,0,2,56.72,Diploma,Salaried,Mortgaged,Single,Personal,1
51,656802,50000,750,7,3,4,6,7.61,Graduate,Unemployed,Mortgaged,Single,Personal,1
46,624126,505791,706,13,4,3,2,81.04,Graduate,Business,Owned,Single,Home,1
39,917122,323726,706,1,4,2,6,35.3,Diploma,Self-Employed,Owned,Married,Business,1
48,180000,439954,611,0,3,4,4,95.0,Graduate,Self-Employed,Rented,Divorced,Business,1
31,737105,173704,622,10,3,2,4,23.57,Graduate,Salaried,Owned,Single,Home,1
51,993516,82649,840,13,4,1,5,8.32,Diploma,Business,Owned,Single,Vehicle,0
42,401888,336506,678,5,1,3,5,83.73,Diploma,Salaried,Owned,Single,Vehicle,1
38,566443,295296,636,4,3,2,1,52.13,High School,Salaried,Mortgaged,Divorced,Business,1
40,484364,231184,790,12,0,3,2,47.73,High School,Salaried,Owned,Married,Vehicle,0
43,453244,311853,710,7,1,3,3,68.8,Diploma,Salaried,Rented,Single,Business,1
22,578222,687441,730,14,4,4,6,95.0,High School,Salaried,Rented,Married,Business,1
26,964047,416834,680,2,1,1,0,43.24,High School,Salaried,Rented,Married,Business,0
30,1054225,446930,668,2,4,0,3,42.39,Diploma,Unemployed,Owned,Married,Vehicle,0
25,576093,418151,678,11,2,2,1,72.58,High School,Salaried,Mortgaged,Married,Personal,1
38,1069113,507125,593,7,1,3,1,47.43,Postgraduate,Salaried,Rented,Married,Business,1
47,657827,273390,684,14,0,4,5,41.56,Postgraduate,Salaried,Rented,Married,Home,1
46,1035812,50000,711,10,2,1,1,4.83,Postgraduate,Self-Employed,Owned,Single,Home,0
39,629474,273598,820,7,2,3,5,43.46,High School,Salaried,Rented,Single,Vehicle,0
54,678833,413643,696,3,2,4,6,60.93,Postgraduate,Self-Employed,Rented,Single,Personal,1
43,730404,164228,527,3,0,4,5,22.48,Postgraduate,Business,Owned,Single,Vehicle,1
24,1349348,275309,683,15,1,4,1,20.4,Diploma,Salaried,Owned,Single,Home,0
50,837283,203152,850,4,0,4,0,24.26,Postgraduate,Unemployed,Owned,Married,Home,0
43,494402,510284,751,10,1,3,3,95.0,Graduate,Salaried,Owned,Married,Home,1
45,863180,404924,633,16,4,1,3,46.91,Graduate,Self-Employed,Owned,Single,Education,1
43,570397,391216,731,17,0,2,5,68.59,Graduate,Salaried,Owned,Single,Personal,1
42,542255,387024,638,5,3,3,2,71.37,High School,Business,Owned,Married,Education,1
24,849892,294785,595,2,0,1,1,34.68,Postgraduate,Business,Mortgaged,Married,Personal,0
42,656839,327658,666,15,2,3,6,49.88,Graduate,Salaried,Rented,Single,Home,1
52,711287,134074,696,13,4,2,6,18.85,Diploma,Salaried,Mortgaged,Married,Education,0
32,653077,50000,559,6,1,3,4,7.66,Graduate,Salaried,Rented,Single,Personal,1
44,724048,321011,610,11,0,2,4,44.34,Graduate,Salaried,Rented,Single,Business,1
22,743492,345359,691,3,2,3,6,46.45,Diploma,Unemployed,Owned,Married,Personal,1
34,223867,469297,661,14,1,0,3,95.0,High School,Self-Employed,Rented,Married,Vehicle,1
38,796646,519987,718,14,4,3,1,65.27,High School,Self-Employed,Owned,Single,Education,1
59,433956,519800,605,5,4,4,4,95.0,Diploma,Unemployed,Rented,Married,Business,1
29,332694,160277,740,9,3,4,3,48.18,Diploma,Business,Mortgaged,Divorced,Home,0
31,637150,250683,607,6,3,4,5,39.34,Graduate,Business,Mortgaged,Single,Personal,1
36,668476,367247,805,0,3,1,5,54.94,High School,Salaried,Owned,Married,Vehicle,1
59,497429,654467,570,2,3,0,3,95.0,High School,Salaried,Rented,Single,Home,1
54,832827,507214,614,19,2,3,2,60.9,Graduate,Salaried,Owned,Married,Personal,1
22,354721,456716,719,9,4,0,2,95.0,Diploma,Salaried,Owned,Married,Business,0
30,560472,245710,806,2,1,1,4,43.84,Postgraduate,Salaried,Owned,Single,Personal,0
53,521328,176352,712,0,0,3,4,33.83,Diploma,Salaried,Owned,Single,Personal,1
23,639751,410447,729,7,3,2,3,64.16,High School,Salaried,Rented,Married,Vehicle,1
54,711350,145907,691,19,3,3,3,20.51,High School,Salaried,Owned,Single,Business,0
31,428264,266619,618,7,4,3,6,62.26,Graduate,Salaried,Owned,Divorced,Personal,1
56,809342,283931,656,19,1,0,1,35.08,Diploma,Salaried,Mortgaged,Single,Vehicle,0
32,663861,523008,605,9,2,3,1,78.78,High School,Salaried,Rented,Married,Education,1
37,233772,250342,600,15,2,2,5,95.0,Graduate,Self-Employed,Owned,Married,Personal,1
46,219110,50000,718,15,1,2,6,22.82,Graduate,Business,Rented,Single,Home,1
25,647290,370622,611,0,3,2,4,57.26,High School,Business,Rented,Married,Personal,1
42,601387,202137,712,0,2,2,2,33.61,Graduate,Salaried,Rented,Married,Education,0
40,627248,305968,599,18,3,2,2,48.78,High School,Salaried,Rented,Married,Personal,1
51,643844,287861,711,18,2,1,3,44.71,High School,Salaried,Mortgaged,Married,Business,1
59,699623,261681,656,2,1,1,0,37.4,Graduate,Salaried,Owned,Married,Business,1
46,858483,410648,788,12,4,0,3,47.83,High School,Salaried,Rented,Married,Personal,1
36,405557,85399,713,18,2,1,1,21.06,Graduate,Unemployed,Owned,Married,Home,1
36,392166,227618,777,19,3,1,1,58.04,Diploma,Salaried,Mortgaged,Married,Business,0
37,409469,395765,637,5,2,2,3,95.0,Diploma,Salaried,Owned,Single,Personal,1
52,713562,214028,694,16,1,4,6,29.99,Graduate,Business,Owned,Married,Personal,1
33,923888,74767,621,12,4,0,1,8.09,High School,Self-Employed,Mortgaged,Married,Personal,1
27,555105,393598,661,18,1,1,6,70.91,Postgraduate,Salaried,Rented,Divorced,Business,1
34,180000,457233,672,2,4,0,3,95.0,Diploma,Salaried,Owned,Single,Business,1
21,275122,293701,639,12,2,4,6,95.0,Postgraduate,Unemployed,Owned,Single,Business,1
25,466732,50000,605,0,0,3,2,10.71,High School,Salaried,Owned,Single,Business,1
24,527300,398836,591,7,0,1,6,75.64,Diploma,Self-Employed,Mortgaged,Married,Business,1
51,560155,67616,526,0,4,2,4,12.07,Graduate,Business,Rented,Married,Home,1
49,658488,343232,616,8,2,3,4,52.12,High School,Salaried,Owned,Single,Home,1
48,581416,175755,734,16,1,4,3,30.23,Graduate,Business,Rented,Single,Business,1
39,880855,137622,578,13,4,2,3,15.62,High School,Salaried,Owned,Divorced,Vehicle,1
48,501276,238133,594,6,3,1,3,47.51,Postgraduate,Salaried,Owned,Married,Vehicle,1
27,460290,274338,815,8,3,3,5,59.6,Diploma,Salaried,Mortgaged,Married,Home,0
56,755353,209811,645,7,3,3,5,27.78,Postgraduate,Unemployed,Owned,Single,Personal,1
40,312159,382418,712,14,0,3,0,95.0,Graduate,Salaried,Mortgaged,Single,Personal,0
57,735732,237550,735,5,0,0,4,32.29,Diploma,Salaried,Rented,Single,Business,1
26,672562,437227,736,1,3,3,5,65.01,Diploma,Unemployed,Owned,Single,Personal,1
40,617563,339364,583,10,0,0,5,54.95,High School,Salaried,Rented,Married,Personal,0
48,999421,202342,674,16,3,4,3,20.25,High School,Business,Rented,Single,Home,0
40,513114,178768,577,9,0,4,2,34.84,Graduate,Self-Employed,Rented,Single,Home,1
38,1103266,69351,850,4,1,2,4,6.29,High School,Self-Employed,Rented,Single,Home,0
27,600405,340703,578,0,3,3,4,56.75,Graduate,Business,Owned,Single,Home,1
35,369056,250358,617,18,3,0,2,67.84,Graduate,Business,Owned,Single,Business,1
30,665382,50000,617,15,3,4,2,7.51,Diploma,Salaried,Rented,Single,Vehicle,1
32,413226,225000,585,3,3,1,2,54.45,High School,Unemployed,Owned,Single,Personal,1
47,484614,173855,785,1,0,1,0,35.88,Graduate,Unemployed,Owned,Married,Business,1
45,737347,520595,850,2,4,3,0,70.6,Graduate,Business,Rented,Divorced,Vehicle,0
44,772228,61611,657,7,1,4,0,7.98,Diploma,Self-Employed,Owned,Married,Personal,0
35,513123,98211,598,16,0,2,2,19.14,Graduate,Self-Employed,Rented,Single,Personal,1
58,867229,455396,533,3,4,2,3,52.51,Graduate,Self-Employed,Rented,Divorced,Personal,1
24,904652,489947,673,16,0,2,2,54.16,Graduate,Salaried,Mortgaged,Divorced,Personal,0
34,965986,195702,668,0,2,1,6,20.26,Graduate,Self-Employed,Owned,Married,Personal,1
25,766471,211508,644,14,2,2,1,27.6,Graduate,Self-Employed,Rented,Single,Business,1
34,949954,386273,705,5,3,4,2,40.66,Diploma,Self-Employed,Mortgaged,Married,Personal,1
58,236224,50000,718,19,0,1,1,21.17,Graduate,Salaried,Owned,Divorced,Home,0
35,580061,50000,713,9,0,3,2,8.62,Postgraduate,Salaried,Rented,Married,Business,0
56,459259,260697,668,5,2,3,4,56.76,High School,Self-Employed,Rented,Married,Education,1
40,676230,516985,613,4,2,4,2,76.45,High School,Salaried,Owned,Married,Home,1
48,524281,238998,737,16,3,3,2,45.59,High School,Unemployed,Owned,Divorced,Home,0
38,613445,314131,691,8,3,4,4,51.21,High School,Business,Rented,Single,Home,1
31,1064078,458730,752,7,0,3,5,43.11,High School,Salaried,Owned,Single,Vehicle,1
50,612662,594964,745,14,4,4,1,95.0,High School,Salaried,Mortgaged,Married,Home,1
58,741034,219241,590,10,2,3,0,29.59,High School,Self-Employed,Rented,Single,Education,0
31,598901,297643,590,13,4,4,1,49.7,High School,Salaried,Owned,Single,Personal,1
51,666657,555088,637,8,4,4,4,83.26,High School,Business,Rented,Single,Business,1
31,651324,86892,616,1,0,4,6,13.34,Graduate,Salaried,Rented,Single,Business,0
48,748631,443861,743,0,2,2,1,59.29,High School,Salaried,Owned,Single,Home,1
51,906368,157436,715,0,2,3,0,17.37,High School,Salaried,Mortgaged,Married,Personal,0
38,1012427,314346,767,11,2,4,3,31.05,Graduate,Business,Rented,Single,Home,0
49,718116,266033,718,10,1,1,6,37.05,Diploma,Unemployed,Rented,Married,Vehicle,1
31,779700,165878,705,14,2,0,3,21.27,Graduate,Business,Mortgaged,Single,Education,0
24,396810,162366,774,17,2,4,6,40.92,Graduate,Self-Employed,Rented,Divorced,Personal,1
24,630667,338698,723,3,0,3,4,53.7,Diploma,Business,Rented,Married,Personal,1
38,856864,439376,695,19,1,2,0,51.28,Graduate,Salaried,Owned,Divorced,Personal,0
56,840513,281837,794,18,0,3,2,33.53,Postgraduate,Self-Employed,Owned,Single,Business,0
25,696554,309816,698,12,4,0,5,44.48,Postgraduate,Unemployed,Rented,Single,Education,1
38,845007,379964,669,10,3,2,3,44.97,Diploma,Salaried,Rented,Married,Business,1
48,757969,163973,631,3,1,1,1,21.63,Postgraduate,Unemployed,Rented,Married,Home,0
28,914067,403557,739,3,1,1,1,44.15,High School,Salaried,Rented,Single,Vehicle,0
49,713659,414708,777,0,0,4,4,58.11,High School,Salaried,Rented,Married,Personal,0
32,571746,664508,686,12,1,2,3,95.0,High School,Self-Employed,Mortgaged,Married,Personal,1
52,723885,247345,782,8,4,0,4,34.17,Diploma,Unemployed,Mortgaged,Single,Vehicle,1
43,180000,235869,552,3,0,1,2,95.0,Diploma,Salaried,Owned,Married,Vehicle,1
42,734235,407655,686,2,0,1,2,55.52,Postgraduate,Business,Mortgaged,Single,Vehicle,1
27,180000,414675,687,1,4,4,4,95.0,Diploma,Salaried,Rented,Single,Education,1
39,270838,225088,639,12,2,1,0,83.11,High School,Business,Owned,Married,Vehicle,1
54,749389,243557,850,13,0,1,3,32.5,Graduate,Self-Employed,Owned,Married,Business,0
21,755056,375758,685,12,2,1,2,49.77,Graduate,Salaried,Owned,Married,Home,1
50,394266,184138,661,2,3,0,5,46.7,High School,Business,Rented,Married,Home,1
40,493338,242525,692,0,1,3,5,49.16,Graduate,Business,Rented,Divorced,Vehicle,1
49,951519,312543,550,2,1,2,2,32.85,High School,Self-Employed,Rented,Married,Personal,1
46,543513,439431,637,15,3,2,1,80.85,Postgraduate,Salaried,Rented,Married,Vehicle,1
37,1143442,215356,759,14,2,1,1,18.83,High School,Salaried,Owned,Single,Education,0
33,649578,50000,646,5,4,3,1,7.7,Graduate,Unemployed,Owned,Married,Business,0
45,739768,50000,632,1,1,0,1,6.76,Diploma,Self-Employed,Mortgaged,Married,Personal,1
26,1005712,123682,782,6,1,4,5,12.3,Postgraduate,Business,Mortgaged,Married,Vehicle,0
43,678826,116157,784,16,0,2,0,17.11,Graduate,Self-Employed,Rented,Single,Business,0
24,429484,278354,726,2,3,1,0,64.81,Postgraduate,Business,Owned,Single,Vehicle,0
46,625860,133557,658,15,2,2,3,21.34,Postgraduate,Salaried,Owned,Married,Business,1
45,642166,201614,673,9,1,4,1,31.4,High School,Self-Employed,Owned,Married,Education,0
24,349757,191628,634,2,3,0,5,54.79,High School,Self-Employed,Rented,Single,Personal,1
50,593717,238329,620,18,1,2,5,40.14,Graduate,Salaried,Owned,Married,Personal,0
37,486718,485151,617,10,0,2,5,95.0,Diploma,Salaried,Mortgaged,Married,Personal,1
51,853359,392673,647,13,2,4,3,46.01,Postgraduate,Self-Employed,Rented,Married,Personal,1
22,657615,302258,618,1,2,2,3,45.96,Graduate,Business,Owned,Single,Home,0
27,587785,235456,581,7,2,3,2,40.06,High School,Self-Employed,Owned,Married,Business,1
40,626640,239347,705,12,2,3,1,38.2,High School,Salaried,Owned,Single,Home,0
28,699087,345885,706,12,4,4,3,49.48,High School,Unemployed,Rented,Single,Vehicle,1
33,785699,381784,809,1,1,1,6,48.59,Postgraduate,Salaried,Rented,Married,Education,0
46,430063,172934,643,12,1,3,1,40.21,Postgraduate,Salaried,Owned,Single,Business,0
26,420851,305107,711,18,2,1,0,72.5,High School,Unemployed,Mortgaged,Single,Business,1
47,893029,50000,712,15,0,4,3,5.6,Graduate,Business,Owned,Single,Personal,0
25,559286,329640,672,4,0,4,2,58.94,Graduate,Unemployed,Owned,Single,Business,1
27,338295,406701,742,18,2,1,5,95.0,Diploma,Business,Mortgaged,Married,Personal,1
43,747639,260790,744,13,2,2,5,34.88,High School,Self-Employed,Owned,Single,Personal,1
51,751941,554314,713,1,3,4,6,73.72,Postgraduate,Salaried,Owned,Married,Personal,1
27,313243,176627,672,2,0,0,2,56.39,Graduate,Salaried,Rented,Married,Vehicle,1
32,700486,330442,665,18,4,3,6,47.17,High School,Unemployed,Owned,Single,Education,1
57,811828,294985,594,4,2,4,0,36.34,Graduate,Business,Owned,Married,Business,0
59,732365,285958,634,1,0,4,2,39.05,Graduate,Salaried,Owned,Single,Personal,0
43,789036,283995,646,9,1,0,1,35.99,Graduate,Salaried,Owned,Single,Home,1
38,341061,314995,611,10,1,3,6,92.36,High School,Salaried,Rented,Single,Vehicle,1
34,722829,418714,721,11,2,3,4,57.93,High School,Salaried,Owned,Single,Vehicle,0
44,583424,492883,774,13,2,0,2,84.48,Graduate,Business,Rented,Single,Vehicle,0
44,543786,299685,626,19,2,3,1,55.11,Graduate,Salaried,Mortgaged,Single,Personal,1
32,841522,414144,710,15,2,3,5,49.21,High School,Salaried,Owned,Married,Home,1
21,975440,201753,618,0,4,4,4,20.68,High School,Unemployed,Owned,Married,Vehicle,1
26,1044761,407234,669,1,4,0,5,38.98,High School,Self-Employed,Owned,Divorced,Business,0
58,939258,193321,642,0,2,4,3,20.58,Graduate,Salaried,Owned,Married,Education,0
37,625858,452692,732,7,4,2,1,72.33,High School,Salaried,Owned,Married,Home,0
39,727598,609490,642,7,4,1,2,83.77,Diploma,Salaried,Rented,Single,Business,1
39,818701,282908,761,18,4,1,4,34.56,High School,Salaried,Owned,Married,Education,1
51,676659,50000,673,7,1,3,1,7.39,Graduate,Salaried,Rented,Single,Personal,0
23,678768,223270,645,0,2,4,0,32.89,High School,Salaried,Rented,Divorced,Business,1
24,831226,472463,602,17,1,1,5,56.84,Graduate,Salaried,Mortgaged,Divorced,Personal,1
31,636958,377431,708,5,0,4,3,59.26,Graduate,Salaried,Owned,Single,Home,0
39,489557,334848,753,18,0,3,2,68.4,Graduate,Salaried,Owned,Married,Personal,1
47,558816,441214,709,15,3,0,3,78.96,Diploma,Unemployed,Mortgaged,Married,Business,1
40,789460,367823,847,17,2,2,5,46.59,Postgraduate,Salaried,Owned,Married,Business,0
38,650659,470482,790,16,4,4,0,72.31,Diploma,Salaried,Rented,Single,Education,0
57,724846,428719,668,2,3,0,3,59.15,Postgraduate,Business,Rented,Married,Home,1
27,797417,513038,668,12,0,0,1,64.34,Postgraduate,Salaried,Rented,Married,Home,0
43,567535,350231,723,8,4,0,0,61.71,Graduate,Self-Employed,Owned,Single,Personal,1
42,816375,426736,631,12,2,2,0,52.27,High School,Business,Owned,Married,Personal,1
39,733345,257002,772,14,2,0,3,35.05,Graduate,Self-Employed,Rented,Single,Home,0
52,378341,215795,715,10,4,4,3,57.04,Postgraduate,Salaried,Rented,Divorced,Business,1
31,967307,538947,708,6,3,0,3,55.72,Graduate,Business,Rented,Single,Business,0
58,539836,330269,738,18,0,0,5,61.18,Postgraduate,Self-Employed,Rented,Single,Business,1
33,285879,412683,811,13,0,1,3,95.0,High School,Salaried,Mortgaged,Single,Vehicle,0
42,420090,317324,702,17,2,3,4,75.54,Graduate,Salaried,Mortgaged,Married,Personal,0
41,425370,217888,682,4,0,4,5,51.22,Graduate,Salaried,Rented,Married,Business,1
54,661478,301538,796,16,0,1,4,45.59,Diploma,Business,Owned,Single,Business,0
38,589753,501039,758,6,3,2,6,84.96,Graduate,Salaried,Owned,Single,Business,1
32,575897,377734,668,9,0,3,1,65.59,Graduate,Salaried,Rented,Married,Business,0
21,786334,60394,690,17,0,3,5,7.68,Graduate,Self-Employed,Rented,Single,Home,0
35,724773,269866,704,7,2,0,4,37.23,Postgraduate,Unemployed,Owned,Single,Personal,1
53,719531,549521,715,5,0,4,4,76.37,High School,Salaried,Rented,Divorced,Vehicle,1
21,740162,270068,595,18,1,4,0,36.49,Graduate,Salaried,Owned,Single,Personal,1
55,785550,50000,582,19,4,3,3,6.36,Postgraduate,Salaried,Owned,Married,Personal,1
42,186250,565027,628,6,3,2,6,95.0,High School,Self-Employed,Mortgaged,Single,Business,1
